"filename", "language", "Python", "JSON with Comments", "Markdown", "Batch", "comment", "blank", "total"
"c:\practice\INFO\ru-readme.md", "Markdown", 0, 0, 224, 0, 0, 44, 268
"c:\practice\README.md", "Markdown", 0, 0, 224, 0, 0, 42, 266
"c:\practice\gui\Main\main_page.py", "Python", 281, 0, 0, 0, 1, 37, 319
"c:\practice\gui\Main\main_page_detect.py", "Python", 281, 0, 0, 0, 1, 36, 318
"c:\practice\gui\Main\utils\Tbox.py", "Python", 55, 0, 0, 0, 0, 14, 69
"c:\practice\gui\Main\utils\Tbox_modify.py", "Python", 76, 0, 0, 0, 1, 27, 104
"c:\practice\gui\README.md", "Markdown", 0, 0, 5, 0, 0, 1, 6
"c:\practice\gui\Settings\settings.json", "JSON with Comments", 0, 1, 0, 0, 0, 0, 1
"c:\practice\gui\Settings\settings.py", "Python", 189, 0, 0, 0, 0, 37, 226
"c:\practice\gui\main.py", "Python", 46, 0, 0, 0, 0, 6, 52
"c:\practice\install.py", "Python", 73, 0, 0, 0, 0, 10, 83
"c:\practice\main.py", "Python", 2, 0, 0, 0, 4, 2, 8
"c:\practice\predict.py", "Python", 61, 0, 0, 0, 1, 6, 68
"c:\practice\prepare_data.py", "Python", 42, 0, 0, 0, 1, 12, 55
"c:\practice\run.bat", "Batch", 0, 0, 0, 13, 3, 8, 24
"c:\practice\run.py", "Python", 7, 0, 0, 0, 0, 2, 9
"c:\practice\split.py", "Python", 155, 0, 0, 0, 15, 42, 212
"c:\practice\train.py", "Python", 82, 0, 0, 0, 0, 15, 97
"Total", "-", 1350, 1, 453, 13, 27, 341, 2185